Команда	Средние очки за игру в квалификации	Итоговый круг	Баллы	Комментарии
Team name	37	1/2	3	3 место
0x5f3759df	32	1/2	3	4 место
BrainStackOver	31	1	3	2 место
village	30	1	3	1 место
6kMMR	29	1/16	2	
ProjectI	28	1/4	3	
Жугдэрдэмидийн	25	1/4	3	
Nameless_team	24	1/8	3	
TiledX	дисквалификация		0	отправил чужое решение
Sabaton	23	1/4	1	- 2 балла за утечку решения
DeltaObschePIIT	23	1/16	2	
Tremb stop drnk	22	1/8	3	
Зрачок	22	1/16	2	
Errorblade	21	1/16	2	
PUDGEGDUP	20	1/8	3	
denexapp	20	1/16	2	
Jihad	19	1/16	2	
Pots and Pots	18	1/8	3	
нетру	18	1/8	3	
FasterThanLight	18	1/16	2	
ToEasyForMM	16	1/8	3	
Казусный кактус	16	1/4	3	
SilverPie	16	1/16	2	
shady	15.5	1/8	3	
solo	15	1/16	2	
2K_MMR_TEAM	14	1/16	2	
ylf	14	1/16	2	
iPristine	14	1/16	2	
Fresh meat	13.5	1/8	3	
Bitter fitters	11	1/16	2	
Нова	10	1/16	2	
success	9	1/16	2	
iriskis97	9	1/16	2	
Bauchkatze	8.5		1	
Агенты Габена	8		1	
WeAreDrowning	7		1	
WeYio	7		1	
top	7		1	
kb_404	6		1	
Need for sleep	4		1	
IAndHe	3		1	
Solo and yolo	2		1	
Манящий_Манго	2		1	
