Team	Match1	Match2	Match3	Average	Scores
Boo	160	144	138	147.3	3
shady	134	132	137	134.3	3
village	127	152	123	134	3
Pots and Pots	132	132	135	133	3
Forever alone	94	132	159	128.3	3
kb_404	129	124	129	127.3	3
Jihad	124	137	112	124.3	3
2K_MMR_TEAM	129	112	124	121.7	3
неТРУ	124	112	127	121	3
Низкий КПДемон	140	149	68	119	3
ProjectI	138	124	88	116.7	3
0x5f3759df	131	130	88	116.3	3
SilverPie	115	113	118	115.3	3
iriskis97	124	108	110	114	3
Team name	135	85	120	113.3	3
Зрачок	136	100	100	112	3
Sabaton	62	147	123	110.7	2
BrainStackOver	83	129	110	107.3	2
WeYioTwo	117	103	102	107.3	2
HAL9000	106	107	105	106	2
DeltaObschePIIT	100	95	86	93.7	2
Solo and yolo	47	111	119	92.3	2
PUDGEGDUP	50	120	90	86.7	2
Fresh meat	92	84	77	84.3	2
duo	55	87	92	78	2
Казусный кактус	83	72	74	76.3	2
Манящий_Манго	80	74	64	72.7	2
Агенты Габена	72	72	72	72	2
Bitter fitters	64	71	68	67.7	2
Nameless_team	48	22	106	58.7	2
Team secret	55	51	66	57.3	2
iPristine	52	55	58	55	2
FasterThanLight	50	44	67	53.7	1
success	96	29	27	50.7	1
Errorblade	39	49	60	49.3	1
Bummers	78	43	25	48.7	1
Tremb stop drnk	50	43	45	46	1
Пыщь-пыщь-пыщь	39	35	38	37.3	1
Nexus	36	33	36	35	1
PudgeAndKludges	25	23	28	25.3	1
Bauchkatze	35	18	9	20.7	1
PINullTeam	17	17	17	17	1
6kMMR	17	14	17	16	1
IAndHe	15	12	15	14	1
GitGud	13	9	11	11	1
Need for sleep	9	12	12	11	1
top	4	2	4	3.3	1
