Team	Average	Round	Scores
BrainStackOver	86.33	1 место	3
ProjectI	100.67	2 место	3
shady	119.67	3 место	3
Jihad	75.00	4 место	3
Team name	106.33	1/4	3
Nameless_team	69.25	1/4	3
Forever alone	65.00	1/4	3
Solo and yolo	61.33	1/4	3
Boo	108.33	1/8	3
iriskis97	103.33	1/8	3
SilverPie	99.67	1/8	3
0x5f3759df	91.33	1/8	3
Sabaton	82.00	1/8	3
DeltaObschePIIT	74.67	1/8	3
denexapp	68.67	1/8	3
нетру	56.25	1/8	3
Bummers	102.33	1/16	2
Казусный кактус	94.67	1/16	2
Зрачок	89.33	1/16	2
2K_MMR_TEAM	87.67	1/16	2
6kMMR	87.50	1/16	2
Need for sleep	83.25	1/16	2
Nexus	83.00	1/16	2
village	77.33	1/16	2
HAL9000	70.33	1/16	2
kb_404	64.25	1/16	2
Команда	57.00	1/16	2
Tremb stop drnk	56.75	1/16	2
Жугдэрдэмидийн	42.50	1/16	2
Низкий КПДемон	40.00	1/16	2
ToEasyForMM	38.00	1/16	2
FasterThanLight	37.67	1/16	2
PUDGEGDUP	37.00		1
Fresh meat	36.00		1
Пыщь-пыщь-пыщь	35.00		1
Errorblade	35.00		1
Bitter fitters	31.25		1
success	31.00		1
WeYioTwo	31.00		1
Pots and Pots	24.67		1
PINullTeam	23.00		1
Агенты Габена	22.33		1
iPristine	11.33		1
Манящий_Манго	3.67		1
GitGud	1.33		1
Нова	0.00		0
